trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,True,"{'a': 0.0, 'e': 0.0}",20,16,8.697727945411732,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,True,"{'a': 0.0, 'e': 0.0}",30,18,24.565848481999716,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,True,"{'a': 0.0, 'e': 0.0}",20,16,7.073884042968373,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,True,"{'a': 0.0, 'e': 0.0}",25,13,19.51353314160423,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,True,"{'a': 0.0, 'e': 0.0}",30,20,18.39242234742173,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,True,"{'a': 0.0, 'e': 0.0}",30,12,29.476345378483728,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,True,"{'a': 0.0, 'e': 0.0}",25,17,18.21567540999345,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,True,"{'a': 0.0, 'e': 0.0}",20,12,17.309268717546175,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,True,"{'a': 0.0, 'e': 0.0}",25,16,15.85561159973349,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,True,"{'a': 0.0, 'e': 0.0}",20,10,20.338924469681963,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,True,"{'a': 0.0, 'e': 0.0}",35,15,35.00473741151973,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,True,"{'a': 0.0, 'e': 0.0}",25,12,24.768198227321527,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,True,"{'a': 0.0, 'e': 0.0}",25,8,30.626481618636394,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,True,"{'a': 0.0, 'e': 0.0}",25,16,19.023347407966206,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,True,"{'a': 0.0, 'e': 0.0}",30,4,42.219694441737154,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,True,"{'a': 0.0, 'e': 0.0}",20,13,14.343970780988533,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,True,"{'a': 0.0, 'e': 0.0}",25,20,10.509118702392335,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,True,"{'a': 0.0, 'e': 0.0}",20,8,21.208003114418183,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,True,"{'a': 0.0, 'e': 0.0}",20,5,20.71731010463719,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,True,"{'a': 0.0, 'e': 0.0}",20,11,15.547334375866805,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,True,"{'a': 0.0, 'e': 0.0}",25,13,22.098657612690307,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,True,"{'a': 0.0, 'e': 0.0}",30,8,40.0833545359594,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,True,"{'a': 0.0, 'e': 0.0}",20,12,15.388502491987179,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,True,"{'a': 0.0, 'e': 0.0}",20,6,23.921036712016676,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,True,"{'a': 0.0, 'e': 0.0}",30,16,25.574398204023858,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,True,"{'a': 0.0, 'e': 0.0}",35,22,27.888204748518177,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,True,"{'a': 0.0, 'e': 0.0}",35,26,15.558641406490182,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,True,"{'a': 0.0, 'e': 0.0}",30,16,25.514343771573454,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
